Accident ID,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause,DayOfWeek,Month,Hour,Cluster
b0dd6f57,"Mumbai, India",13.488432,-73.290682,Snow,Snowy,5,7,Reckless Driving,2,4,6,2
debfad09,"São Paulo, Brazil",-37.798317,-32.244242,Clear,Icy,4,1,Drunk Driving,1,1,2,1
6d69aa36,"Sydney, Australia",33.767869,104.869018,Rain,Snowy,1,7,Reckless Driving,1,4,2,3
425bb1f0,"Tokyo, Japan",-0.378031,-165.825855,Storm,Wet,4,0,Drunk Driving,1,10,11,1
90d5cf62,"Beijing, China",41.254879,-30.776959,Storm,Snowy,3,9,Reckless Driving,0,1,12,2
24d3501f,"Paris, France",-85.766268,-20.271304,Fog,Icy,2,6,Drunk Driving,6,4,10,0
0f1ed7d1,"Mumbai, India",-24.046032,-4.414578,Clear,Under Construction,4,8,Reckless Driving,1,7,8,2
82353f3e,"Mumbai, India",48.77465,-131.30627,Rain,Icy,4,5,Weather Conditions,6,5,19,1
3ab2d6f6,"London, UK",-55.335689,152.606359,Fog,Wet,2,9,Reckless Driving,0,10,19,0
613638e4,"Toronto, Canada",24.566435,-75.913198,Storm,Snowy,1,7,Mechanical Failure,0,7,2,3
b0b13d4b,"Toronto, Canada",-59.047194,57.831011,Clear,Under Construction,1,1,Weather Conditions,5,11,23,0
8694a279,"Berlin, Germany",-31.825114,-73.647462,Fog,Wet,3,9,Drunk Driving,3,9,20,2
1dfd0097,"Beijing, China",1.406127,-32.244107,Hail,Icy,5,9,Weather Conditions,6,1,17,2
6c97348c,"Mumbai, India",1.55188,-169.953341,Snow,Snowy,4,6,Drunk Driving,3,1,18,2
2db70f77,"Toronto, Canada",49.206865,-111.184284,Hail,Gravel,3,10,Mechanical Failure,5,12,19,2
24cdeeb9,"São Paulo, Brazil",-39.332739,0.991049,Fog,Under Construction,3,2,Speeding,4,8,23,0
68ab5a6b,"São Paulo, Brazil",51.568285,-22.209768,Clear,Gravel,3,3,Speeding,4,11,8,3
acfb6bcc,"Tokyo, Japan",-59.799586,134.326268,Snow,Icy,1,1,Speeding,5,12,17,0
552448f0,"Tokyo, Japan",-19.00646,-52.779439,Rain,Gravel,5,9,Drunk Driving,0,7,19,2
d4af2e94,"São Paulo, Brazil",0.520167,-170.05232,Rain,Gravel,5,3,Drunk Driving,4,2,3,1
78d1fca8,"London, UK",41.583094,34.483181,Hail,Dry,5,7,Mechanical Failure,0,7,10,2
711ca10d,"Beijing, China",14.023021,13.166353,Snow,Gravel,2,1,Distracted Driving,0,3,10,3
07a19dbc,"Toronto, Canada",-35.515747,-65.785699,Fog,Snowy,1,4,Reckless Driving,6,1,8,0
0d628b15,"Mumbai, India",-45.421121,-142.479166,Clear,Icy,2,5,Speeding,6,10,21,0
a17755ed,"Tokyo, Japan",-46.1074,156.13629,Hail,Dry,2,2,Distracted Driving,1,3,11,0
87bd34a6,"São Paulo, Brazil",-37.075082,-3.632071,Hail,Dry,2,4,Mechanical Failure,2,7,19,0
6f814599,"Tokyo, Japan",0.564118,-96.03814,Hail,Snowy,1,10,Drunk Driving,2,11,8,3
03e3a796,"Paris, France",39.311402,-103.818156,Rain,Dry,2,6,Drunk Driving,0,6,3,3
d0028b49,"Mumbai, India",13.419264,-176.27762,Snow,Gravel,3,0,Mechanical Failure,5,12,15,1
25e09923,"Beijing, China",-77.18038,38.151535,Hail,Wet,4,3,Distracted Driving,5,4,15,0
bed2c6c4,"Beijing, China",78.721562,33.39283,Snow,Gravel,2,7,Reckless Driving,1,9,0,3
74740d58,"New York, USA",-59.229291,15.139089,Storm,Under Construction,4,8,Drunk Driving,2,12,8,2
937a310d,"Mumbai, India",31.585442,-81.570146,Storm,Wet,4,7,Speeding,5,2,23,2
34429537,"Beijing, China",66.791916,169.892992,Storm,Dry,1,9,Mechanical Failure,3,4,16,3
